TIME s, IN1, IN2
2.5, 0.505357, 1.098058
2.495, 0.496792, 1.14844
2.49, 0.491082, 1.167171
2.485, 0.482516, 1.190425
2.48, 0.473951, 1.184611
2.476, 0.468241, 1.162004
2.471, 0.45682, 1.160066
2.466, 0.45111, 1.147794
2.461, 0.442545, 1.112915
2.456, 0.433979, 1.089661
2.451, 0.425414, 1.082556
2.446, 0.416849, 1.045739
2.441, 0.411138, 1.012797
2.437, 0.402573, 1.000525
2.432, 0.394008, 0.976626
2.427, 0.385442, 0.936579
2.422, 0.379732, 0.913972
2.417, 0.371166, 0.899762
2.412, 0.365456, 0.861007
2.407, 0.354036, 0.829357
2.402, 0.348325, 0.819022
2.397, 0.33976, 0.79254
2.393, 0.33405, 0.754431
2.388, 0.325484, 0.738929
2.383, 0.316919, 0.720197
2.378, 0.308354, 0.684026
2.373, 0.302643, 0.654314
2.368, 0.294078, 0.6485
2.363, 0.285513, 0.619434
2.358, 0.276947, 0.584555
2.354, 0.268382, 0.576804
2.349, 0.262672, 0.561302
2.344, 0.254106, 0.524484
2.339, 0.248396, 0.507045
2.334, 0.239831, 0.502523
2.329, 0.231265, 0.471519
2.324, 0.2227, 0.444391
2.319, 0.21699, 0.442453
2.314, 0.208424, 0.426305
2.31, 0.199859, 0.391426
2.305, 0.194149, 0.383675
2.3, 0.185583, 0.377215
2.295, 0.177018, 0.34492
2.29, 0.168452, 0.325542
2.285, 0.162742, 0.32748
2.28, 0.151322, 0.305519
2.275, 0.145611, 0.279682
2.271, 0.139901, 0.279036
2.266, 0.128481, 0.269347
2.261, 0.12277, 0.241573
2.256, 0.114205, 0.228655
2.251, 0.108495, 0.23253
2.246, 0.099929, 0.207339
2.241, 0.094219, 0.1899
2.236, 0.085654, 0.191837
2.231, 0.074233, 0.184086
2.227, 0.068523, 0.15825
2.222, 0.059958, 0.15179
2.217, 0.054247, 0.152436
2.212, 0.045682, 0.130475
2.207, 0.037117, 0.114327
2.202, 0.028551, 0.121432
2.197, 0.022841, 0.110452
2.192, 0.014276, 0.087845
2.188, 0.00571, 0.091074
2.183, -0.002855, 0.087199
2.178, -0.008565, 0.066529
2.173, -0.017131, 0.055549
2.168, -0.025696, 0.063946
2.163, -0.034262, 0.048444
2.158, -0.039972, 0.029712
2.153, -0.048537, 0.036817
2.148, -0.054247, 0.034234
2.144, -0.065668, 0.012272
2.139, -0.071378, 0.007751
2.134, -0.079944, 0.015502
2.129, -0.088509, -0.004521
2.124, -0.094219, -0.01744
2.119, -0.102785, -0.006459
2.114, -0.11135, -0.011627
2.109, -0.119915, -0.03488
2.104, -0.125626, -0.029066
2.1, -0.131336, -0.027774
2.095, -0.142756, -0.04586
2.09, -0.151322, -0.055549
2.085, -0.157032, -0.044568
2.08, -0.165597, -0.052965
2.075, -0.177018, -0.072989
2.07, -0.182728, -0.063946
2.065, -0.188438, -0.0633
2.061, -0.197004, -0.083969
2.056, -0.202714, -0.087199
2.051, -0.211279, -0.076864
2.046, -0.2227, -0.093658
2.041, -0.22841, -0.103993
2.036, -0.236976, -0.093012
2.031, -0.242686, -0.095596
2.026, -0.251251, -0.11239
2.021, -0.259817, -0.111744
2.017, -0.265527, -0.104639
2.012, -0.274092, -0.120786
2.007, -0.282658, -0.129829
2.002, -0.288368, -0.116265
1.997, -0.299788, -0.12337
1.992, -0.305499, -0.138872
1.987, -0.314064, -0.130475
1.982, -0.319774, -0.127246
1.978, -0.331195, -0.144685
1.973, -0.336905, -0.149207
1.968, -0.34547, -0.135643
1.963, -0.351181, -0.148561
1.958, -0.359746, -0.160187
1.953, -0.368311, -0.147269
1.948, -0.376877, -0.146623
1.943, -0.382587, -0.163417
1.938, -0.391152, -0.161479
1.934, -0.396863, -0.150499
1.929, -0.408283, -0.167292
1.924, -0.413993, -0.174398
1.919, -0.422559, -0.158896
1.914, -0.431124, -0.162125
1.909, -0.436834, -0.177627
1.904, -0.4454, -0.170522
1.899, -0.453965, -0.166001
1.895, -0.459675, -0.181503
1.89, -0.468241, -0.18667
1.885, -0.476806, -0.173106
1.88, -0.482516, -0.180211
1.875, -0.491082, -0.195067
1.87, -0.496792, -0.182794
1.865, -0.505357, -0.178919
1.86, -0.513923, -0.196359
1.855, -0.522488, -0.195713
1.851, -0.528198, -0.182794
1.846, -0.536764, -0.195713
1.841, -0.548184, -0.20411
1.836, -0.553895, -0.188608
1.831, -0.56246, -0.188608
1.826, -0.56817, -0.204756
1.821, -0.576736, -0.198296
1.816, -0.585301, -0.190545
1.812, -0.591011, -0.207339
1.807, -0.599577, -0.212507
1.802, -0.608142, -0.196359
1.797, -0.616707, -0.203464
1.792, -0.619563, -0.215736
1.787, -0.630983, -0.204756
1.782, -0.639548, -0.201526
1.777, -0.645259, -0.217674
1.772, -0.653824, -0.220258
1.768, -0.662389, -0.206047
1.763, -0.670955, -0.217028
1.758, -0.676665, -0.225425
1.753, -0.68523, -0.213153
1.748, -0.693796, -0.211215
1.743, -0.702361, -0.227363
1.738, -0.708071, -0.225425
1.733, -0.719492, -0.212507
1.729, -0.725202, -0.227363
1.724, -0.730912, -0.233176
1.719, -0.739478, -0.217028
1.714, -0.748043, -0.220904
1.709, -0.753753, -0.23576
1.704, -0.765174, -0.225425
1.699, -0.770884, -0.220904
1.694, -0.77945, -0.235114
1.689, -0.78516, -0.239635
1.685, -0.793725, -0.224133
1.68, -0.805146, -0.233176
1.675, -0.810856, -0.244802
1.67, -0.819421, -0.231884
1.665, -0.825132, -0.228009
1.66, -0.830842, -0.244157
1.655, -0.842262, -0.242865
1.65, -0.850828, -0.228655
1.646, -0.856538, -0.242865
1.641, -0.865103, -0.250616
1.636, -0.873669, -0.23576
1.631, -0.879379, -0.23576
1.626, -0.8908, -0.251262
1.621, -0.89651, -0.242865
1.616, -0.90222, -0.236406
1.611, -0.913641, -0.251908
1.606, -0.916496, -0.255783
1.602, -0.927916, -0.240281
